"DLPFC_cope","DLPFC_cope_scaled"
-43049.01696,-3.906799305
-8944.425944,-0.5137339357
-7829.470646,-0.5064970437
-19804.58057,-2.113180102
3769.555978,0.2128183588
-5861.356813,-0.7985863912
-9554.914388,-1.408111478
-11203.44742,-0.9237970347
-9436.479249,-0.3818996038
11759.33666,1.651833167
5188.59869,0.9417616392
2133.039707,0.5898027626
-3411.322676,-0.0534498993
2099.667682,0.06357367135
-1198.097674,-0.4674294412
4905.606905,0.6681430085
-466.7613869,-0.2308562536
-1475.254582,-0.6899460631
8500.387475,1.195766597
-7225.619114,-0.1879563339
9792.324761,1.127381211
-11034.95545,-0.9926823464
-15255.47586,-1.808650131
1660.430824,-0.2406941734
1064.747949,0.08180832129
-2818.211743,-0.1360373195
9352.794389,0.9000569841
-2067.395404,0.06310097713
-6566.145658,-0.01725229029
16350.39435,2.236297164
8751.175261,2.148105541
-7203.853576,0.8035188888
3783.457884,1.928268441
9571.930761,-0.4281331859
-11349.30749,-3.085700728
-170.2531513,-1.807991329
-3910.233051,-0.4813990281
-9499.729347,-0.840125719
21869.44919,3.184727809
11941.29628,1.461368283
-32878.86101,-2.73352044
-19780.38289,-1.509821766
-18882.9888,-1.427403827
-9964.312608,-0.6284650995
233.809027,0.3374393483
-5522.133944,-0.2954363328
-4151.295708,0.1377129573
-96.32781612,0.3911426267
-2243.235472,0.334216374
-76.27431826,-0.2197389984
3132.505489,-0.157669424
-2738.046281,-0.8958374188
5585.784454,0.1462280349
11909.28851,0.7475346229
2701.965912,0.1207780705
-1827.646044,-0.2695883185
-5424.849462,-0.3203266365
10762.54525,0.8267672491
-7071.264701,-0.6528915293
-7811.382323,-0.925799238
56546.30426,3.81698018
21805.69391,0.9787718822
17200.70436,1.223746462
17603.08697,1.010357228
-156.1811513,-0.06378340946
6916.101869,0.5106260504
-17607.13765,-1.141091495
13599.46272,0.779117155
-8722.557207,-0.9342237549
-11411.30688,-1.066993943
-2398.090164,-0.1547821771
-5978.374622,-0.1746970588
-2313.943542,-0.2326148829
