"amygdala_harvard_bin50_cope","amygdala_harvard_bin50_cope_scaled"
-1295.039425,-0.1846961376
11203.18047,1.690360021
2045.500004,0.3014105764
7379.152505,1.090255713
-1365.3417,-0.1407851498
1530.598535,0.2083854201
2809.804774,0.4433960759
-4661.89614,-0.7193809407
-1702.333939,-0.2872778781
1391.676483,0.1749833512
-1206.515818,-0.1587905089
-1.794656164,-0.0188762145
2969.10717,0.4245824238
5430.976224,0.8106696919
2974.157691,0.4633773533
1022.745713,0.181437125
4001.651786,0.5865631519
10033.21869,1.444119602
3839.156809,0.5821023908
-5011.243687,-0.8570840166
1930.392207,0.3153680882
-9755.520976,-1.477835788
2457.396868,0.3596791569
2640.741121,0.3578306574
2593.578816,0.3587842608
7041.779176,1.00902017
4569.219966,0.5823737137
-7937.271344,-1.316561718
2270.087048,0.3238904682
11266.54479,1.686183796
-2473.025834,-0.3783850221
433.6841541,0.0403043983
-1207.511914,-0.0991462709
7100.860514,1.007931959
-2013.524975,-0.3409668049
6008.151331,0.8133115425
-1231.050194,-0.2780108922
-2264.376419,-0.3751112882
10849.98479,1.59151012
-1115.231674,-0.2170861823
-5104.725631,-0.7797599121
3392.682927,0.511099665
-1530.034883,-0.197995656
-5141.181148,-0.7712060006
-7184.657999,-1.047906669
-7576.995503,-1.203217612
-2107.698102,-0.3241855784
-5774.983947,-0.8605617453
-9017.977483,-1.341648828
-2144.78665,-0.3179659726
1343.927442,0.1342115163
901.8677959,0.1236481917
1442.672965,0.2182812298
5438.943961,0.7985292489
2229.425141,0.3271916001
3088.520016,0.4558830083
-2023.320101,-0.3064878454
6316.608307,0.9332105276
-1490.571875,-0.2791396594
3735.368948,0.5521668158
6802.715019,0.9324976106
-3781.941806,-0.6877447396
-3346.260751,-0.508483951
-3841.025751,-0.7182414669
-4994.229258,-0.7815648004
13866.8382,2.166775883
7911.12792,1.211106797
5463.429963,0.7934220616
-3301.350706,-0.4769518445
-2635.977986,-0.4158761578
-2094.729135,-0.3427110204
-2694.021225,-0.395704394
-4574.584289,-0.7031128042
-5709.230246,-0.8443231144
-3181.751439,-0.4554303004
6012.75653,0.9340805714
353.2376758,0.0563118744
-1461.404043,-0.1974715056
2150.262244,0.3185297128
-1485.91252,-0.2451837572
-10796.60011,-1.663631847
1394.508315,0.2477325917
-3706.268757,-0.5109327272
5972.55475,0.8741796212
238.3214545,-0.07662735104
3019.805403,0.3597732404
4649.568421,0.7404611026
-905.4112251,-0.1583529672
3923.018252,0.5884600304
-3673.279772,-0.5731454359
-8675.07438,-1.18830805
-3710.523002,-0.6081355273
6188.957374,0.8114803396
585.9856527,0.04945872081
-2799.128119,-0.4379898296
1525.04466,0.1704403908
4750.452917,0.7828525045
439.9248931,-0.02706526222
3195.797347,0.4587723991
6845.416416,1.018852388
12558.27253,1.938170609
2780.45681,0.4020184494
-3367.745707,-0.617491646
9200.511329,1.403150568
-3285.172466,-0.6175811722
12367.36222,1.818300845
4755.620602,0.7028164498
-3979.443693,-0.5969242832
-2224.056177,-0.411269367
-5489.426511,-0.9195933498
299.8087904,0.01669940826
6950.666606,0.9935838409
-3391.960824,-0.6045153538
-3306.247167,-0.2555235045
-2804.839153,-0.2498549251
8693.724832,1.424122283
5549.655162,0.9018772777
-561.2733547,0.02221030702
-3060.219057,-0.4241125278
-2639.173815,-0.3228046432
1053.079997,0.1555325216
-1936.506509,-0.3155739057
4357.173583,0.6462372152
1177.407415,0.1442277809
4466.483549,0.5513816146
3442.610335,0.4983039971
11093.38465,1.523227677
10928.16872,1.57382527
6896.590155,1.036560288
-5871.34068,-0.8934586791
-11012.70772,-1.659847532
-5747.225613,-0.6260640854
353.8888258,0.02035064045
10915.91865,1.639526414
13655.64046,2.005181331
5206.568445,0.6994755965
7784.853068,1.040862677
9224.855458,1.347785983
11279.96092,1.687597119
2034.503233,0.2363237961
-2689.412388,-0.2506740231
-14356.90003,-2.003443466
-13239.37263,-1.954937767
5924.585892,0.8284758822
2392.50295,0.2552265926
-2679.022225,-0.3004496663
10746.31253,1.486773799
6326.2473,0.826871362
7361.202086,1.077879736
2274.720313,0.2646801205
3656.99939,0.5372114248
6776.705818,1.006816819
1142.840253,0.1555802466
-639.9650777,-0.1098337044
12083.57499,1.845712829
7006.28342,1.150125364
2929.253918,0.4279924819
627.2445709,0.1230738742
8248.755457,1.239907625
10242.23911,1.602655379
-2131.410223,-0.3034869943
-2244.301484,-0.3304410935
-2586.801845,-0.37328443
1965.016156,0.254125488
-776.4337311,-0.1263999424
731.4915826,0.09493357923
-328.7654979,-0.05275678492
3201.331931,0.4363198736
2022.158722,0.279210811
-1327.110924,-0.1974144161
136.1456132,-0.0007510263299
-520.1446759,-0.08558877135
3582.394058,0.4903486019
-51.82266972,-0.02209712915
766.6363481,0.1175110914
-2783.804789,-0.4019879007
610.332669,0.07224583107
1675.680049,0.2122955508
2315.985621,0.3155549769
1470.764024,0.2081137238
2748.437886,0.3900895151
-630.1026433,-0.09246440137
974.2517165,0.1522230272
767.1618201,0.1121757069
5138.166204,0.71433598
3948.262429,0.5321914347
662.8214391,0.1062471575
-1673.507468,-0.2293096183
-1565.544524,-0.2373955869
-1299.620305,-0.1900919437
77.72455784,-0.004239131506
-749.2076077,-0.1086271587
-595.8178258,-0.07793575617
715.5113813,0.09110459623
-332.7821692,-0.07843314766
-1122.438429,-0.1705413695
632.0494193,0.06190225702
1147.964023,0.1558098995
308.4695407,0.05288241731
-197.897467,-0.02785101743
2543.814746,0.3895877821
-2079.678729,-0.3039421384
-3048.115363,-0.4259167364
-1720.949365,-0.2399936043
-5466.281491,-0.7572477806
-368.9198855,-0.04095010729
-1039.979882,-0.1407310533
-4949.684849,-0.6960484651
-2756.235797,-0.3831353774
-2707.819034,-0.373517417
-1230.874234,-0.1860753201
3605.969842,0.5089063389
1215.369289,0.1527298587
1123.441495,0.1567947877
2390.881893,0.332536129
1763.808376,0.2630921105
-1135.157784,-0.1778569514
