"IPC_cope","IPC_cope_scaled"
-24241.65205,-1.841630397
-117.8249628,-0.1811216216
318.9008093,-0.03150686811
-20680.11607,-2.265239103
8241.293656,0.35538408
-2495.279503,-0.2936150039
-10719.3786,-1.591753286
-3788.340184,-0.3191688677
-7333.745034,-0.4764236685
11770.06019,1.093497712
3008.84733,0.6867196707
-2590.746113,-0.07172879811
-2657.4365,-0.3129326829
-424.9177267,0.1394877217
2536.642562,0.02848712048
-425.9761866,0.7586272261
357.1513875,1.020054607
-2759.688246,1.342436846
1376.763257,-1.300105028
-4705.068927,-0.8549339685
5459.015847,-0.399728528
-2067.564251,-0.5253668786
-8455.372576,-1.368981903
-11751.2593,-2.601262707
1467.170213,0.5640339916
-4985.281426,-0.2381671762
-3229.193915,-1.494826758
-4061.971802,-2.300276394
-4131.272785,-0.3147712039
13292.39029,1.365182299
7871.468541,1.254433318
-7524.378085,-2.124870805
9719.709315,0.7568013919
6004.782281,0.04649821469
-6982.972079,0.5461609639
6870.543009,1.646662695
4380.404682,3.865671382
-4731.516339,4.401051406
11275.69084,-2.676073821
16077.97897,-1.60134466
-15324.43715,-1.407409206
-4198.026394,-0.3411679669
-13956.13319,-1.771304961
91.70541704,-0.05187633198
7527.061989,0.6152472115
-3890.750307,-0.5580499582
-272.6048528,-0.197956331
-4395.692168,-1.080518182
1894.240837,-0.04257680665
-20635.1501,-1.236243007
-1119.377057,-0.1363269893
-13911.58405,-1.015524671
5362.448219,0.1558944235
6471.254216,0.7734781461
585.0568848,-0.691721141
-2991.261642,-0.806949796
-2289.579086,-1.086266653
2999.205099,-1.493997846
3078.276035,-1.337354382
-1236.137092,-1.821313041
29504.57954,8.205326598
9497.355504,5.869149399
13656.01,3.647909754
12573.92924,5.22403743
1130.559015,1.919648474
-15612.51509,-1.528248092
-17767.57316,-2.597259271
13794.0667,0.7746788173
-2994.312668,-1.15895357
-8675.626521,-0.6621550825
-289.0621952,-0.3944885913
-158.3785969,0.01282675537
1852.466139,0.1536606634
-1201.322866,0.01791151965
-8765.192796,-0.2055254091
6967.607882,0.6257576264
-33.98549494,0.07359031398
-1607.255697,-0.21324379
-4884.343249,-0.4472595116
-3007.83611,-0.2356051538
-13624.414,0.008600181122
-2578.856132,0.7966153365
-6783.431537,0.966468059
-5359.564387,-3.373227677
-4945.65583,-2.555031863
-7896.255287,-4.162605889
-3111.547373,-3.753482148
-903.6319601,-2.646861846
-8107.844449,-3.807971791
-13562.84689,-4.682378244
19524.41722,7.319199715
3775.006302,7.248570355
18152.46357,6.187172686
6406.387612,0.05222946071
-80.07818963,-0.1946499248
7833.565706,0.5627206596
-4698.586529,-1.313901837
19874.12567,-1.20032814
396.2699599,-2.153882809
17361.45352,0.5682303879
23559.15231,-1.05160213
6013.51836,-0.9242605565
9105.523711,0.2004976672
5417.612145,-1.67864753
-6762.778032,-2.942577841
17284.81142,-1.955900482
-2241.149176,-2.454899247
-1600.749924,-1.224505036
10273.8691,-0.1395556437
-10324.58427,-2.850985464
-8494.568408,-3.844085202
-6453.662482,-3.530953641
-6171.524531,-3.128295056
10916.56366,5.581262373
5843.833297,4.963170071
18841.87919,2.686817343
1129.65816,0.3192282506
2408.51743,0.1741788708
-349.9760254,-0.2097998857
-535.8899784,-1.119205657
-11469.63606,-0.9592859036
-13490.78783,-2.527989464
8328.657932,-1.123516493
1410.912119,-1.553166878
6601.995447,-2.369021204
-2079.4739,-1.231935453
8102.47493,4.081215531
-9330.972822,0.3316593181
7495.480611,1.763075287
-6170.420908,-2.274512623
-10583.03915,-2.608160964
564.5398872,0.02933468228
-369.5156522,2.544784833
-2299.569174,0.03863509179
