"dACC_cope","dACC_cope_scaled"
-39791.41913,-4.218843892
-15304.28438,-1.56959539
-10177.77942,-0.9298355262
-13072.81444,-1.357322158
-6218.577761,-0.537129505
-10412.73341,-1.042307001
-4759.568976,-0.4519856224
-7364.476269,-0.7446320783
-1581.634032,-0.2535210371
1609.484007,0.2021915567
4206.964862,0.4276766482
-427.8269196,-0.05507330568
-6164.936112,-0.7601194463
-4182.761467,-0.4303007435
-6633.981114,-0.6750369633
1387.875895,0.129033571
-6679.123946,-0.7235018908
535.8757117,0.05280834163
14307.94603,1.496269583
-4276.076601,-0.4242474755
2045.420667,0.2183183037
-17564.12959,-1.850887961
-5876.157532,-0.6058954107
7011.471574,0.6529371219
-8093.301678,-0.8958651484
1600.983148,0.1389740653
10732.94893,1.072643841
806.0931386,-0.03942745928
-2149.680115,-0.3220174563
11827.66678,1.199756031
4102.192829,0.4126083424
-2898.778137,-0.4197121396
-475.6131604,-0.04480420964
1094.429888,0.2634818898
-17457.83632,-1.824808237
183.9464058,0.05149706232
2272.248747,0.3615496641
-6553.771044,-0.6347462129
17309.22847,1.865910349
4062.731937,0.4351221023
-30231.8692,-3.114364729
-17840.67511,-1.794755083
-10541.92959,-1.047223901
-12156.80808,-1.286861289
-9173.982709,-0.8940375819
-7769.461308,-0.7908730042
-7461.283423,-0.8148469125
963.8869398,0.137044667
-6887.177093,-0.7300967086
-222.7046748,-0.07248778044
4298.182081,0.4413593208
-5637.475493,-0.676590312
7875.753846,0.7948980804
7600.545474,0.8157085314
5749.515113,0.5855534127
-5349.907387,-0.6202388549
-2138.782849,-0.2168534685
13795.47513,1.460452912
-13747.81013,-1.450802825
-1310.487531,-0.142009737
37252.76854,4.040904099
5223.231371,0.394690026
7079.945667,0.721035617
6266.424153,0.6119322313
-1845.607698,-0.2275802583
7252.47643,0.8063171526
-16610.56816,-1.726572261
-452.1788425,-0.08892620555
-12463.22306,-1.386252929
-10815.61877,-1.199604504
-3157.693465,-0.3257845518
-4684.915627,-0.4757191049
-1446.327054,-0.1261234537
-8341.583921,-0.8791563784
-8934.616111,-0.93862906
6125.104351,0.5822391489
-2132.110916,-0.23954922
-1185.936474,-0.1412562855
-1610.777917,-0.2001532446
-1261.201089,-0.1076097819
-26439.66624,-2.603953894
-23279.82762,-2.393133164
-15779.31903,-1.57948108
-6479.91703,-0.6722210834
-10230.40897,-1.070700353
-7306.633458,-0.8057473977
-9410.779825,-1.089329164
-6106.416449,-0.6749088335
-10916.3509,-1.207259598
-6679.455619,-0.7589431902
10239.33357,1.214312377
-2725.337187,-0.3313220436
14591.23577,1.632640726
758.8813626,0.02416063542
-6020.570684,-0.5898873356
939.8916648,0.1031659081
-3059.674048,-0.4130916524
5080.938134,0.4506901142
1093.270096,0.05216970128
14998.9141,1.535797747
22871.35819,2.447855188
-3509.302321,-0.3520039608
1181.608456,0.1083717129
11981.04513,1.256331549
-8275.740829,-1.05254484
14775.66799,1.435379367
-3976.634257,-0.4671909516
426.5469319,0.02180766316
5100.620866,0.5407711239
-9554.605501,-1.0317906
-3063.932894,-0.4369571447
-5148.284121,-0.6395772622
-9538.021883,-1.080604137
3028.109143,0.4807974356
-9255.524922,-0.9665579043
12954.12328,1.502124303
1017.301955,0.128102018
-6057.016933,-0.6142368594
-11563.95028,-1.247065656
-4596.149108,-0.4633162106
-31625.4077,-3.214087309
-21590.53859,-2.183638108
-7392.220746,-0.6492151493
-4391.841789,-0.4148435631
4915.006675,0.5619722351
-3569.084979,-0.4633343715
8327.957115,0.9186679372
-3977.225376,-0.5044672588
14790.37704,1.534474303
-715.424704,-0.04997989599
-11758.60908,-1.209969432
-734.086418,0.01527667229
-5268.881914,-0.5098263867
-7108.275525,-0.8445493744
22743.42167,2.455513372
-7055.208015,-0.7697056162
7836.675436,0.7707856048
5625.733172,0.5291831272
4669.788807,0.4121252283
-4399.451001,-0.5327895753
26215.18033,3.013570387
-3523.216997,-0.2975321059
-2226.845724,-0.169339801
9403.476563,1.000203534
1346.419016,0.1748643573
-10777.01055,-1.108805129
11148.6344,1.224828844
1307.61479,0.1882849603
378.9020972,0.02652641907
-8214.435311,-0.8068236338
-2580.181119,-0.2652552427
-2949.018135,-0.3350860576
1025.36878,0.1536761139
1023.052894,0.1305118607
9554.75829,0.9745410253
3758.607536,0.3599823469
5248.421415,0.6393322491
-1726.538805,-0.1767532833
10331.68387,1.094992074
