"Sub","intSlope"
"2034",8.15870054800476
"2047",5.59372045259887
"2038",5.20795186208092
"2018",3.36793978726842
"2020",2.62724472100764
"2044",2.61706924697998
"2021",2.18226363754454
"2015",2.12610111820967
"2036",2.02495145595771
"2022",1.72468196577955
"2019",1.36046961239513
"2028",1.22776266239609
"2027",1.14662281899577
"2016",1.14461591492533
"2045",1.09560943808172
"2039",0.876463484344838
"2040",0.723319116017553
"2017",0.63046372058535
"2030",0.595268015171787
"2032",0.564827925290423
"2035",0.43857881615611
"2031",0.367841207698416
"2013",0.357658047767642
"2024",0.295480477674705
"2042",-0.024267454518049
"2033",-0.19027769548589
"2046",-0.29440455106121
"2043",-0.554062954524738
"2029",-0.6588535412838
"2041",-1.52169755838146
